identity_key,canonical_name,brand,address,corridor,review_state,pets_allowed,pet_fee,fee_currency,fee_basis,fee_structure,fee_cap,weight_limit,pet_count_limit,species_allowed,withheld_fields,warnings,proposed_decision,founder_decision,source_url,document_sha256,record_hash
la quinta inn by wyndham milwaukee airport oak creek,La Quinta Inn by Wyndham Milwaukee Airport / Oak Creek,WYNDHAM,"7141 S 13th St., Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,FOUNDER_REVIEW_READY,True,2500,USD,per_night,,"{""amount_minor"": 7500, ""basis"": ""per_stay"", ""currency"": ""USD""}","{""unit"": ""lb"", ""value"": 75.0}",2,"[""cat"", ""dog""]",,a stated ceiling is carried as fee_cap and is not a price,APPROVE,,https://www.wyndhamhotels.com/laquinta/oak-creek-wisconsin/la-quinta-inn-milwaukee-airport-oak-creek/overview,e3d60fd16d5e5a4aceca16beafad905f9abd9c9665cc98fdfe3367b1d3cc32a9,sha256:8a60ffd3d9ab48715168c5374979ea536ac82848f5ef6517e861e7494c403a36
milwaukee marriott west,Milwaukee Marriott West,MARRIOTT,"W231N1600 Corporate Ct, Waukesha, WI, 53186",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,15000,USD,per_stay,,,,2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkemw-milwaukee-marriott-west/overview/,32cc08a36b9d5c9db4c9c2a9612bbe78145361b949847cba5b54d8d723c9786e,sha256:8c238525ca2c4a770ae3047fbc60571f9595e8f7820f1450683ec255384c566f
ramada by wyndham milwaukee,Ramada by Wyndham Milwaukee,WYNDHAM,"2301 W Wisconsin Avenue, Milwaukee, WI, 53233",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,5000,USD,per_stay,,,,2,,,,APPROVE,,https://www.wyndhamhotels.com/ramada/milwaukee-wisconsin/ramada-milwaukee/overview,59692c4e96cc3dda94a4dc5868509722ce97f224d0a50174f6cdeadbdcfaff72,sha256:48843057522c435802c2b16e4ae7e86214e4b3492f98484335a686df7bdc61c4
residence inn by marriott milwaukee brookfield,Residence Inn by Marriott Milwaukee Brookfield,MARRIOTT,"765 Pinehurst Court, Brookfield, WI, 53005",milwaukee-wi__brookfield,FOUNDER_REVIEW_READY,True,15000,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 50.0}",2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkerb-residence-inn-milwaukee-brookfield/overview/,2dbf541ba101037266741f1db563308eec9475f38ba49016c988ffd99472192d,sha256:1d7ef46e07c73a5e7876bf8900653efd0b73cffcfe5a107828dab1e5f6474eb3
residence inn by marriott milwaukee downtown,Residence Inn by Marriott Milwaukee Downtown,MARRIOTT,"648 North Plankinton Avenue, Milwaukee, WI, 53203",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,15000,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 50.0}",1,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkeri-residence-inn-milwaukee-downtown/overview/,fbc0dbdfaba86839f7d5f7a3b58622f1bc8364665007dfec36ce265526d6151f,sha256:0e12f64d73952d0a34c6fbe270c0d9679c85f23a15df0edc043136c2c95bccde
residence inn by marriott milwaukee north glendale,Residence Inn by Marriott Milwaukee North/Glendale,MARRIOTT,"7003 North Port Washington Road, Glendale, WI, 53217",milwaukee-wi__milwaukee-north-shore,FOUNDER_REVIEW_READY,True,12500,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 75.0}",2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkeng-residence-inn-milwaukee-north-glendale/overview/,be067c482af1def702c3614652af03b8a2e1380fef26f99caf99a46f33f28650,sha256:db2f125bea2dd58005e5b121226dc527c07b86946214bdd91561ef69d3a7c6f3
residence inn by marriott milwaukee west,Residence Inn by Marriott Milwaukee West,MARRIOTT,"1300 Discovery Parkway, Wauwatosa, WI, 53226",milwaukee-wi__wauwatosa-west-allis,FOUNDER_REVIEW_READY,True,10000,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 80.0}",2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkewe-residence-inn-milwaukee-west/overview/,94502eaa58a678ed8643e5023ab439026124fb63899a7745095510772d8a3a3d,sha256:6690d752bf35db767defcabf370711ea84869abe3f5d475ab1108b747d700044
royle hotel milwaukee airport,Royle Hotel Milwaukee Airport,CHOICE,"5311 S. Howell Ave., Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,FOUNDER_REVIEW_READY,True,5000,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 100.0}",1,,,,APPROVE,,https://www.choicehotels.com/wisconsin/milwaukee/choice-hotels/wi008,236c809111f401276cb7169a34b82d3eb6d81d69c978810337252257b64d1fb5,sha256:04aba76b859945a31da4191a98a2bb43465459989d3788e1acfa23b24b9e4c42
saint kate the arts hotel,Saint Kate - The Arts Hotel,INDEP:www.saintkatearts.com,"139 E. Kilbourn Avenue, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,,10000,USD,per_stay,,,,2,,pets_allowed=SOURCE_CONTRADICTORY,pets_allowed withheld: SOURCE_CONTRADICTORY,NEEDS_INDIVIDUAL_REVIEW,,https://www.saintkatearts.com/faq,77266c986a88fedd91973ec1074ea5d33381a3a46a9df3163560a52651b988b9,sha256:76b887b5518b263b18347086aade55d0a16ab2dc6c012746bde5e56aa4df7bd1
sleep inn and suites milwaukee airport,Sleep Inn & Suites Milwaukee Airport,CHOICE,"4600 South 6th Street, Milwaukee, WI, 53221",milwaukee-wi__milwaukee-airport-south,FOUNDER_REVIEW_READY,True,3000,USD,per_night,,,"{""unit"": ""lb"", ""value"": 40.0}",2,"[""dog""]",,,APPROVE,,https://www.choicehotels.com/wisconsin/milwaukee/sleep-inn-hotels/wi186,a0ffbfb5800f1a9f64361370fc30af6c6b205db1ea732f570a1bfd1bfcf37725,sha256:ddc6feaf3ddf153f6efa5f6ef63d42b08c8c06edbc39c72edbc9a67ea7007732
springhill suites by marriott menomonee falls,SpringHill Suites by Marriott Menomonee Falls,MARRIOTT,"N 91 W 15901 Falls Parkway, Menomonee Falls, WI, 53051",milwaukee-wi__menomonee-falls-germantown,FOUNDER_REVIEW_READY,True,7500,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 100.0}",2,"[""dog""]",,,APPROVE,,https://www.marriott.com/en-us/hotels/mkems-springhill-suites-menomonee-falls/overview/,8cb5a7d77a14eb026fc94d2dade2872c3df58fa4643be15aa6147c2a0cd77921,sha256:59fce6ce5633e5e3336b3b2f2c5c4d0be2ff021b6175182071d072ebfafea889
springhill suites by marriott milwaukee downtown,SpringHill Suites by Marriott Milwaukee Downtown,MARRIOTT,"744 Vel R Phillips Avenue, Milwaukee, WI, 53203",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,7500,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 75.0}",1,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkesh-springhill-suites-milwaukee-downtown/overview/,8acb021af639592919a5a365c08083d69916f1227591a7d173f0fa2da5fd70c7,sha256:fe08e51b0b8e9ca2e58bcce503017fb852d0d9886315928d94811a7bed18e047
super 8 by wyndham germantown milwaukee,Super 8 by Wyndham Germantown/Milwaukee,WYNDHAM,"N 96 W 17490 County Line Rd, Germantown, WI, 53022",milwaukee-wi__menomonee-falls-germantown,FOUNDER_REVIEW_READY,True,2000,USD,per_night,,,,,"[""dog""]",,,APPROVE,,https://www.wyndhamhotels.com/super-8/germantown-wisconsin/super-8-germantown-milwaukee/overview,b66f9b4447e5a592b13c007414a59a3566726dc0b67b7ab1dbb044dfb64450df,sha256:b589d4ad343ab633da546a18a84fb89cccbffd054df1fab029d324e741bf8840
the ingleside hotel,The Ingleside Hotel,INDEP:www.theinglesidehotel.com,"2810 Golf Road, Pewaukee, WI, 53072",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,4000,USD,per_night,,,,2,"[""dog""]",,,APPROVE,,https://www.theinglesidehotel.com/accommodations/dog-friendly,60b32327433825a601d5ae7d732e4c962ba8c165e2112a6d73ccbe77e90f7662,sha256:304bd85790b46f1ade8c7fb0ba96b6a16b8b5430b4f3da3355defa683d78236a
the pfister hotel,The Pfister Hotel,INDEP:www.thepfisterhotel.com,"424 E. Wisconsin Avenue, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,15000,USD,,,,,2,"[""cat"", ""dog""]",fee_basis=SOURCE_SILENT,fee_basis withheld: SOURCE_SILENT,APPROVE,,https://www.thepfisterhotel.com/accommodations/pets/,9a4486300fd1fe4e99dad5d92aca2ac095e2f8d948be5c42dc6bf60af2f5c210,sha256:4fb116f23dc449ed04b7fe4daa7b2cdd5a039511ebc7a4d4755de01b5027e7c3
the westin milwaukee,The Westin Milwaukee,MARRIOTT,"550 North Van Buren Street, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,,,,,"[""dog""]",pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.marriott.com/en-us/hotels/mkeiw-the-westin-milwaukee/overview/,7daa0184d980d8414893943556f0d0e6031709fdc9e57c978133dc66adefaa1f,sha256:b8e1767fb92f446b385bef38cba3104bdbe4828f8ce43ab95d7f89c78b076853
towneplace suites by marriott milwaukee brookfield,TownePlace Suites by Marriott Milwaukee Brookfield,MARRIOTT,"600 North Calhoun Road, Brookfield, WI, 53005",milwaukee-wi__brookfield,FOUNDER_REVIEW_READY,True,10000,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 50.0}",2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkets-towneplace-suites-milwaukee-brookfield/overview/,e99808df4c38082fca963cd6ba820e823698207368a5ea0a32b500889bc955fa,sha256:d8baf828180560ce54d4f73a73749c33698ba28d9646a0fcbfcd3032393910f0
towneplace suites by marriott milwaukee oak creek,TownePlace Suites by Marriott Milwaukee Oak Creek,MARRIOTT,"7980 South Market Street, Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,FOUNDER_REVIEW_READY,True,10000,USD,per_stay,,,,2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkeok-towneplace-suites-milwaukee-oak-creek/overview/,eb87416598d7c8f4227cd6a2b157a1f5ba43e1926c3b8edbc0734f0782756917,sha256:cab43ffa1495da938cd7dfbc907451e391decd025528ffd84ecd8a9c587e757b
travelodge by wyndham milwaukee,Travelodge by Wyndham Milwaukee,WYNDHAM,"1716 W Layton Ave, Milwaukee, WI, 53221",milwaukee-wi__milwaukee-airport-south,FOUNDER_REVIEW_READY,True,,,,,,"{""unit"": ""lb"", ""value"": 40.0}",2,"[""dog""]",pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.wyndhamhotels.com/travelodge/milwaukee-wisconsin/travelodge-milwaukee/overview,bb7936711d394a4dbb9aee680bf17bb2b8c68cb4d841d72e339766cff1ec0c89,sha256:f06d0e7554b0338644188d62ce7384e2503b044b847980bf510d3d84823472b8
tru by hilton milwaukee brookfield,Tru by Hilton Milwaukee Brookfield,HILTON,"20925 Watertown Road, Waukesha, WI, 53186",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $50.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,"{""unit"": ""lb"", ""value"": 100.0}",2,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkeboru-tru-milwaukee-brookfield/,30de37366d939643740b32df3d2e066ca0a527e54db31f15f4e42fb7a99d96ca,sha256:6ac001f93f72e94650ebec2039438af627be002144cfffea4a99f79f9feb8e00
tru by hilton milwaukee downtown,Tru by Hilton Milwaukee Downtown,HILTON,"515 N Jefferson St, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 per_stay | nights 5+: $125.00 per_stay,,"{""unit"": ""lb"", ""value"": 75.0}",,,,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkesoru-tru-milwaukee-downtown/,ca27b29304801de3a5b068e31ff58cf72be2d5efa1df61681521a70e2f0995a6,sha256:2f228e3d55cacd5f5246a9ab40535099b673955a315f3ee60310210c37fd047a
baymont by wyndham mequon milwaukee area,Baymont by Wyndham Mequon Milwaukee Area,WYNDHAM,"10330 Port Washington Road, Mequon, WI, 53092",milwaukee-wi__milwaukee-north-shore,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,NEEDS_INDIVIDUAL_REVIEW,,https://www.wyndhamhotels.com/baymont/mequon-wisconsin/baymont-inn-and-suites-mequon-milwaukee-area/overview,86cb317a192b09324aef44debbd580bc71f66fc6287e6d7ae1fb25fd042e94c0,sha256:db174a722063b8afb28680777f9133276e98cecbed8fb18841f89cbd78059dd5
best western germantown inn,Best Western Germantown Inn,BEST_WESTERN,"W190N10862 Commerce Circle, Germantown, WI, 53022",milwaukee-wi__menomonee-falls-germantown,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.bestwestern.com/en_US/book/hotels-in-germantown/best-western-germantown-inn/propertyCode.50140.html,f5e076b6dfcd344056b5c6052ea35702f64bf40841048e4fcbce7ba8bc2a23ae,sha256:04d62ee6b812c5e76b8ef5a2263b7585771ad1c7546482ef7c2bc88dff298e1d
cambria hotel milwaukee downtown,Cambria Hotel Milwaukee Downtown,CHOICE,"503 N. Plankinton Ave, Milwaukee, WI, 53203",milwaukee-wi__downtown-milwaukee,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.choicehotels.com/wisconsin/milwaukee/cambria-hotels/wi297,90181d4a281c2e654e63a4bf308479bf13ba3d25fca4480c9375c5fb62f9665f,sha256:074048473fab8023da29213123ff932d7f01db83d250ac7740d6bf2fba08253d
clarion pointe milwaukee airport,Clarion Pointe Milwaukee Airport,CHOICE,"5037 S Howell Ave, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.choicehotels.com/wisconsin/milwaukee/clarion-hotels/wi519,67afcc17436c7a805c8be2c754338dce185255fe77065b2ec4d0aa54046ca9bf,sha256:1a38bb2860cc99a4cd0246a4f2b59c187b095470b9c13cf29f1769bddc96eefb
country inn and suites by radisson germantown wi,"Country Inn & Suites by Radisson, Germantown, WI",CHOICE,"W188 N11020 Maple Road, Germantown, WI, 53022",milwaukee-wi__menomonee-falls-germantown,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.choicehotels.com/wisconsin/germantown/country-inn-suites-hotels/wi483,a7c8b5c051e67a6cff3e31cd282dac3907758ff240cbeb76051bd969e680d5fe,sha256:e7d8b62d1a1caac701092d1d7efa31c60a48e8e6bdcc30838791cae38c0af57b
courtyard by marriott milwaukee airport,Courtyard by Marriott Milwaukee Airport,MARRIOTT,"4620 South 5th Street, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkecy-courtyard-milwaukee-airport/overview/,5ed7c15876ae7d57d671fa6eb17b9094d1ca51b5a6a57ee7209f9d1c46d5a0e2,sha256:dd43f4fedc8a1aa18541104b51d07cc1186b45f7b563e718c11c2b4093ed2442
days inn by wyndham west allis milwaukee,Days Inn by Wyndham West Allis/Milwaukee,WYNDHAM,"1673 South 108th Street, West Allis, WI, 53214",milwaukee-wi__wauwatosa-west-allis,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,NEEDS_INDIVIDUAL_REVIEW,,https://www.wyndhamhotels.com/days-inn/west-allis-wisconsin/days-inn-west-allis-milwaukee/overview,6b032d8f9a229935249242613fca5db4d8ab725741d1f82c712a6d4c370d6d97,sha256:a64bf48ec2d25ed5fd7139f83986ed78ccc25c308336da6907283324a02cf702
delta hotels milwaukee northwest,Delta Hotels Milwaukee Northwest,MARRIOTT,"N88 W14750 Main Street, Menomonee Falls, WI, 53051",milwaukee-wi__menomonee-falls-germantown,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkedm-delta-hotels-milwaukee-northwest/overview/,d4587e806a5e35bcc79326df2e14c00bc308aa7059118929f9ac23224a7dcadc,sha256:fcc97ec60419bfc2b0407aef64551f6760ef2e8cef704f5f351a26ee0b1248ae
doubletree by hilton hotel milwaukee brookfield,DoubleTree by Hilton Hotel Milwaukee - Brookfield,HILTON,"18155 Bluemound Road, Brookfield, WI, 53045",milwaukee-wi__brookfield,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.hilton.com/en/hotels/mkebkdt-doubletree-milwaukee-brookfield/,78d768a5d6c4d6ed0235697ea14ee991c2de7c410c07cc206b94bffb73233e17,sha256:54fc0e6e001d0c6ebf7d43e7b0814cf92ebc3ffd095a3cb422b85923251a9e36
doubletree by hilton hotel milwaukee downtown,DoubleTree by Hilton Hotel Milwaukee Downtown,HILTON,"611 W. Wisconsin Avenue, Milwaukee, WI, 53203",milwaukee-wi__downtown-milwaukee,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.hilton.com/en/hotels/mkeccdt-doubletree-milwaukee-downtown/,3be6143e39902b19eeef7f7ba1c429d06c46f858c7c4078f844713037bd7063a,sha256:79758f1dfb6a48331bfffe0b6fc226cf86551245677b8f7bd695a3b2685ece6c
fairfield by marriott inn and suites milwaukee airport,Fairfield by Marriott Inn & Suites Milwaukee Airport,MARRIOTT,"6460 South 13th Street, Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkeap-fairfield-inn-and-suites-milwaukee-airport/overview/,8ecec18165abee4cabb14a24387f2a11de8103abe106c1406b0e2eeea4644a51,sha256:2967e48f315719f26e5f43305ac4c3426428a01d1ef5fde3cbd1aa6f88426ebf
fairfield by marriott inn and suites milwaukee brookfield,Fairfield by Marriott Inn & Suites Milwaukee Brookfield,MARRIOTT,"135 Discovery Drive, Brookfield, WI, 53045",milwaukee-wi__brookfield,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkefb-fairfield-inn-and-suites-milwaukee-brookfield/overview/,ba9ba33f382b5a95ba7bb39ffe0f88d6d9916881b37ff5f53c5ff98c7bec7556,sha256:2bbb3b227599e28068684da7d2fdbfb45b457a5b6f0e39387626f7d734a124a6
fairfield by marriott inn and suites milwaukee west,Fairfield by Marriott Inn & Suites Milwaukee West,MARRIOTT,"4229 West National Avenue, West Milwaukee, WI, 53215",milwaukee-wi__wauwatosa-west-allis,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkefw-fairfield-inn-and-suites-milwaukee-west/overview/,7bea38e576233e0087d9c550a699dee3b7d471fe44fa0278c154823ae73d9d2a,sha256:4a0fd5fe15c9a758268e062cd83179eccf64d08a69010f15173c75b19dbb00f8
holiday inn and suites milwaukee airport,Holiday Inn & Suites Milwaukee Airport,IHG,"545 W. Layton Avenue, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinn/hotels/us/en/milwaukee/mkela/hoteldetail,93974bea0b745b61ec8a30262655f62b3b3468e3a921b3d52eaf7a2b83aa876a,sha256:c1b089204cf9eac5795d3c9d661f10f28d1deae95f5ac3aafcbfbf524bc1610b
holiday inn express and suites milwaukee airport,Holiday Inn Express & Suites Milwaukee Airport,IHG,"1400 W. Zellman Court, Milwaukee, WI, 53221",milwaukee-wi__milwaukee-airport-south,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinnexpress/hotels/us/en/milwaukee/mkeoc/hoteldetail,6187bdd2802fc4fd4562d45ecc899000b9fbca38d6157e9e308ab63b70c94a52,sha256:66d48101239ef83ac9dc88a96c631a9a24176c0347463e5719046df31eaf66ed
holiday inn express and suites milwaukee brookfield,Holiday Inn Express & Suites Milwaukee - Brookfield,IHG,"115 Discovery Drive, Brookfield, WI, 53045",milwaukee-wi__brookfield,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinnexpress/hotels/us/en/brookfield/mkebf/hoteldetail,5c422898487ae6a1c6c81f5ca80ae4913144b46473f635e4d5312046a00f0db7,sha256:f20545f33e016d12dc7995ebcc371bb87576e17b47a56a92c208409a87fa8b28
holiday inn express and suites milwaukee new berlin,Holiday Inn Express & Suites Milwaukee-New Berlin,IHG,"15451 W. Beloit Road, New Berlin, WI, 53151",milwaukee-wi__waukesha-pewaukee,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinnexpress/hotels/us/en/new-berlin/mkenb/hoteldetail,0c3335bf664ef96ccacdfad3a35009fa6609ebcbfa5c11d59e25650a7850f4d7,sha256:cbfe8effdceaac9aeae11172446d555bddba21817077893f09195a9c0c6a356b
holiday inn express and suites milwaukee nw park place,Holiday Inn Express & Suites Milwaukee NW - Park Place,IHG,"10831 W Park Place, Milwaukee, WI, 53224",milwaukee-wi__milwaukee-northwest,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinnexpress/hotels/us/en/milwaukee/mkepp/hoteldetail,40eca48982f378f09a15087b060f62d612ab40e211bc6b1ce1e8e576e8103397,sha256:ad71023920b2bc44f180b137b11fb0b5ec70efa5aadd9fa160c855d64b2c586f
holiday inn express milwaukee downtown,Holiday Inn Express Milwaukee Downtown,IHG,"525 N Jefferson Street, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinnexpress/hotels/us/en/milwaukee/mkeem/hoteldetail,130c83837d75071a41d2c76a6cafcfc7e434347a3a7892c04fe045f2278f5eb9,sha256:9a170e20fa3a04f87ec9c0a7dc099c3649fae4fd1c78e318e8c6bf41092a7b7a
holiday inn express milwaukee n brown deer mequon,Holiday Inn Express Milwaukee N-Brown Deer/Mequon,IHG,"4443 W Schroeder Dr, Brown Deer, WI, 53223",milwaukee-wi__milwaukee-north-shore,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinnexpress/hotels/us/en/brown-deer/mkebd/hoteldetail,f3423f38150b90d62f6a8f325fa1d3f3af0a589723a3f35bf3abc354af89c1c1,sha256:01063a27a5a068607fda131b715eaba022ab402bf5a3931d0f34bbf8076d8bf7
holiday inn pewaukee milwaukee west,Holiday Inn Pewaukee-Milwaukee West,IHG,"N14 W24140 Tower Place, Pewaukee, WI, 53072",milwaukee-wi__waukesha-pewaukee,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.ihg.com/holidayinn/hotels/us/en/pewaukee/pkehi/hoteldetail,0c8ea5faac93f1b111a83ba19d7f891d26328ebba5310157d0b86d8eef141d42,sha256:4e2ed174d27e31dbb0b41e7fbbf2f740a90c7e60603e84958b98bf9b69157716
milwaukee marriott downtown,Milwaukee Marriott Downtown,MARRIOTT,"625 N Milwaukee Street, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkedn-milwaukee-marriott-downtown/overview/,4ef5d9228dedb7d6a380a1ec30ca0526fb30a2f6301643daa170ac4eb2c7922e,sha256:7fe67a7e3ecf780da0b3c195a4d960e212210fb9eef0fcbf1d770a00abba328b
renaissance milwaukee west hotel,Renaissance Milwaukee West Hotel,MARRIOTT,"2300 North Mayfair Road, Wauwatosa, WI, 53226",milwaukee-wi__wauwatosa-west-allis,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkemr-renaissance-milwaukee-west-hotel/overview/,d2e629b2b96b75354f1b8dc2ccd4f002326c1cbbccd7f6eef999e62726371df7,sha256:b0558774ed5c98e41e497e4ff437201f304c4dda32378170f8d98b63b28a34cc
rodeway inn and suites milwaukee airport,Rodeway Inn & Suites Milwaukee Airport,CHOICE,"4400 S. 27th Street, Milwaukee, WI, 53221",milwaukee-wi__milwaukee-airport-south,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.choicehotels.com/wisconsin/milwaukee/rodeway-inn-hotels/wi121,8fad5376d7613884cb547498de7375c3dd00df99fe90a3e0d1b5cb339498b49a,sha256:e9e5076f497f90b222ad9ed49047b9bc649f2defec1437ca10b1154e8f82e5a1
springhill suites by marriott milwaukee west wauwatosa,SpringHill Suites by Marriott Milwaukee West/Wauwatosa,MARRIOTT,"10411 West Watertown Plank Road, Wauwatosa, WI, 53226",milwaukee-wi__wauwatosa-west-allis,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,APPROVE_REFUSAL,,https://www.marriott.com/en-us/hotels/mkesm-springhill-suites-milwaukee-west-wauwatosa/overview/,d2e629b2b96b75354f1b8dc2ccd4f002326c1cbbccd7f6eef999e62726371df7,sha256:7a6a312fbdee18ef27b5e69002cfea1e697fa315f6728fa710206a780809402f
super 8 by wyndham milwaukee airport,Super 8 by Wyndham Milwaukee Airport,WYNDHAM,"5253 South Howell Avenue, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,REFUSAL_FOUNDER_REVIEW,False,,,,,,,,,,,NEEDS_INDIVIDUAL_REVIEW,,https://www.wyndhamhotels.com/super-8/milwaukee-wisconsin/super-8-milwaukee-airport/overview,689e327cf1683b74b7194c939c04e6edcdf379b1591ede3df681743871d85ace,sha256:943fdbd42036586749eabf85dff001ae2228f7e1449234793ea87facf624689a
