identity_key,canonical_name,brand,address,corridor,review_state,pets_allowed,pet_fee,fee_currency,fee_basis,fee_structure,fee_cap,weight_limit,pet_count_limit,species_allowed,withheld_fields,warnings,proposed_decision,founder_decision,source_url,document_sha256,record_hash
hampton inn milwaukee brookfield,Hampton Inn Milwaukee/Brookfield,HILTON,"575 North Barker Road, Brookfield, WI, 53045",milwaukee-wi__brookfield,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,,,,,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkebfhx-hampton-milwaukee-brookfield/,a96f6801a1ae1a9f3e5a07d3b82d0c397e0b28173e19cf5a3fe9b8cd6c8af6bb,sha256:ad34d717a9787e12431c2411b8c6c3f78db3b305a6572992045c2393ba71b2cc
hampton inn milwaukee northwest,Hampton Inn Milwaukee-Northwest,HILTON,"5601 N. Lover's Lane Rd., Milwaukee, WI, 53225",milwaukee-wi__milwaukee-northwest,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,,,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkellhx-hampton-milwaukee-northwest/,6af0d14dc6c8ca5a5012877725c5e356aa2d9d9c5d48eace0a59e090f7df009b,sha256:c1e759ef6e77c364f2c3d7710090984722ae42eed6a324e07045cb3a9da6ae94
hawthorn extended stay by wyndham milwaukee airport,Hawthorn Extended Stay by Wyndham Milwaukee Airport,WYNDHAM,"1001 W College Avenue, Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,FOUNDER_REVIEW_READY,True,2500,USD,per_night,,,"{""unit"": ""lb"", ""value"": 75.0}",2,"[""dog""]",,,APPROVE,,https://www.wyndhamhotels.com/hawthorn-extended-stay/oak-creek-wisconsin/hawthorn-extended-stay-milwaukee-airport/overview,46892db68f9f0be36706b3f538832a8000c487f3922ef27a1622ab6cb04d3283,sha256:a0a3aaad3bed4b2321870cb34c5e396cec9449f990afaf365263e7eeaf0fbd7b
hilton garden inn milwaukee airport,Hilton Garden Inn Milwaukee Airport,HILTON,"5890 S. Howell Avenue, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,"{""unit"": ""lb"", ""value"": 75.0}",2,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkegigi-hilton-garden-inn-milwaukee-airport/,fd3c463d2bfd6dfd83cf85daf588d1f16b38e75939691b25d95f9030189f45c1,sha256:d68bc08942c43c2b6ae376deacc6e96d10281f60161bcd984f5a9156b93e492b
hilton garden inn milwaukee brookfield conference center,Hilton Garden Inn Milwaukee Brookfield Conference Center,HILTON,"265 S. Moorland Road, Brookfield, WI, 53005",milwaukee-wi__brookfield,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,"{""unit"": ""lb"", ""value"": 75.0}",2,,,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkebcgi-hilton-garden-inn-milwaukee-brookfield-conference-center/,6aa74c7588a432af86859c337faae386d00f4e9e1cd920c94e6a57d7e96754e0,sha256:c4d1e17a5464ed46472dff755cf4c4350d022fa9c5eb68ea0ca9a091bc976399
hilton garden inn milwaukee downtown,Hilton Garden Inn Milwaukee Downtown,HILTON,"611 North Broadway, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,,,,,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkemdgi-hilton-garden-inn-milwaukee-downtown/,8dc5264bf9e636d25ada4759258b8c10e291237bab7c88cdb064eae7fb869030,sha256:847682b59e91ff6c95ae067b2fba2d38b50d63561d30ea36987fb75020f3b7e6
hilton garden inn milwaukee northwest conference center,Hilton Garden Inn Milwaukee Northwest Conference Center,HILTON,"11600 West Park Place, Milwaukee, WI, 53224",milwaukee-wi__milwaukee-northwest,FOUNDER_REVIEW_READY,True,,,,,,"{""unit"": ""lb"", ""value"": 75.0}",2,"[""cat"", ""dog""]",pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.hilton.com/en/hotels/mkeppgi-hilton-garden-inn-milwaukee-northwest-conference-center/,7015f7a34b6512cc8f4fa88ec28afded5e8d9b409a5d1b8dd7f549d53d91b519,sha256:043d30394d9b75104d71f154ef2ebfa5aa85edb168418b14167ba8b4e107cb9a
hilton milwaukee,Hilton Milwaukee,HILTON,"509 W. Wisconsin Avenue, Milwaukee, WI, 53203",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,7500,USD,,,,"{""unit"": ""lb"", ""value"": 75.0}",,,fee_basis=SOURCE_SILENT,fee_basis withheld: SOURCE_SILENT,APPROVE,,https://www.hilton.com/en/hotels/mkemhhf-hilton-milwaukee/,5bd1b52fb163b72633018e0bdbef63287594ad80510062e51c23b2c4eb069d93,sha256:13757f5b3df9f1ee36c3b062b6bf93717afe49254a1906b86b5ef65f0c0da062
holiday inn brookfield milwaukee,Holiday Inn Brookfield - Milwaukee,IHG,"1005 South Moorland Road, Brookfield, WI, 53005",milwaukee-wi__brookfield,FOUNDER_REVIEW_READY,True,1500,USD,,,,"{""unit"": ""lb"", ""value"": 60.0}",2,"[""dog""]",fee_basis=SOURCE_CONTRADICTORY,fee_basis withheld: SOURCE_CONTRADICTORY,APPROVE,,https://www.ihg.com/holidayinn/hotels/us/en/brookfield/mkebr/hoteldetail,7bf58aa9641e3e8cdb4bd7bb368f33a7594549f15d0811e919a6c3996710be5a,sha256:81ef899968cd51087529fbbd9988b1763fec817c83bfc6bb8793e89b253b55c4
holiday inn express and suites milwaukee west allis,Holiday Inn Express & Suites Milwaukee - West Allis,IHG,"10111 West Lincoln Avenue, West Allis, WI, 53227",milwaukee-wi__wauwatosa-west-allis,FOUNDER_REVIEW_READY,True,3000,USD,per_night,,,,,"[""dog""]",,,APPROVE,,https://www.ihg.com/holidayinnexpress/hotels/us/en/west-allis/mkell/hoteldetail,bf8d2220ff11f5c266f79d989600d0d22bf67431764eb5d930ff664a7dba1d28,sha256:a299c171ba0e4235cdad75f79d0963544183a9a72a835089e2ed6f2483314e57
